"","model_id","fo_median","fo_cv","ffmsy_median","ffmsy_cv","bbmsy_median","bbmsy_cv","Bmsy","Fmsy","fmodel","qmodel","rmodel","stock"
"1",1,16868.3741000719,0.181840873583715,0.239004657346367,0.315847896464351,0.385867694467308,0.21814643315606,380990.17892419,0,"fmodel1","qmodel1","rmodel1","stk"
"2",2,13708.8604733609,0.177269556683955,0.206267952120691,0.373417721086511,0.655479900401503,0.203195917917861,85523.1312132945,0,"fmodel2","qmodel1","rmodel1","stk"
"3",3,16298.1220221763,0.190682681392504,0.4449154577805,0.311305799423887,3.01282223894808,0.204766284710547,39099.2755173775,0.159506153484282,"fmodel3","qmodel1","rmodel1","stk"
"4",4,6956.67321941283,0.178827347468818,1.23156316839734,0.481493652607796,0.258605386075836,0.321748914003268,NA,NA,"fmodel1","qmodel2","rmodel1","stk"
"5",5,10293.5446362704,0.188540684504613,3.16079360381176,0.392099880871306,0.635316004495479,0.371625644698702,61519.9512474617,0,"fmodel2","qmodel2","rmodel1","stk"
"6",6,27274.0434298926,0.234847527631127,0.27786283321083,0.335569911388467,2.14262919580977,0.215224905518868,23263.7225393373,0.190614598832098,"fmodel3","qmodel2","rmodel1","stk"
"7",7,13966.9927324585,0.182179935935719,0.203431715459207,0.365441942066705,0.653559305112681,0.205214362676226,58939.8997635681,0.183944075371358,"fmodel1","qmodel3","rmodel1","stk"
"8",8,25120.1001904185,0.276490442471869,0.442493700267992,0.327081214809298,2.03268194530262,0.226610020577429,87529.5696681954,0,"fmodel2","qmodel3","rmodel1","stk"
"9",9,26027.0056750107,0.423306364836463,17.5010943297111,0.382439713046917,3.39785101764923,0.214021153057885,64724.5555907229,0.152781742559282,"fmodel3","qmodel3","rmodel1","stk"
"10",10,17826.2869328031,0.257121735169144,1.16988985267481,0.394981252069215,0.134268278990776,0.278658970706932,22900.0404379369,0.0115371464183546,"fmodel1","qmodel1","rmodel2","stk"
"11",11,21401.1270126202,0.201878776298012,0.745338302313314,0.329266992140627,0.133080611280249,0.209444285655965,831259.48636849,0.0809655621472252,"fmodel2","qmodel1","rmodel2","stk"
"12",12,11045.7214126898,0.255537522358851,37.2830976591313,0.188152572298573,2.10432549104911,0.206112253002429,1293088.63826175,0.0688993443759175,"fmodel3","qmodel1","rmodel2","stk"
"13",13,8595.62203161119,0.31510845007158,14.7599570302696,0.599202247148142,0.169778754594221,0.372610625640835,19972.127691594,0.0095237873244688,"fmodel1","qmodel2","rmodel2","stk"
"14",14,7970.04408523982,0.20726121743572,3.02917902682294,0.48880750987891,0.969478254412692,0.325245564439516,139499.137663634,0.03627272363494,"fmodel2","qmodel2","rmodel2","stk"
"15",15,29783.8818107577,0.20750286785882,0.442771773207445,0.326039608984455,0.206300717084649,0.217893308985706,18201.7481596832,0.195755052366006,"fmodel3","qmodel2","rmodel2","stk"
"16",16,18796.2983761907,0.204611522382139,1.16935526668988,0.378702470710114,0.0977734417681677,0.228487225289961,767166.423023638,0.105731911293856,"fmodel1","qmodel3","rmodel2","stk"
"17",17,27204.7613395857,0.231606319336912,0.654023857963491,0.326558367797944,0.126838515740967,0.216015054375523,1220251.40480278,0.0781284989738888,"fmodel2","qmodel3","rmodel2","stk"
"18",18,21402.5078167202,0.203786315162395,0.91779982336239,0.32286201893107,0.0839466964158355,0.208343847362567,1343122.27952141,0.0863143063565183,"fmodel3","qmodel3","rmodel2","stk"
"19",19,17296.6653952065,0.174962765733162,1.3245761375558,0.444977060679156,0.226903689365087,0.361450399944855,NA,NA,"fmodel1","qmodel1","rmodel3","stk"
"20",20,26400.4184024091,0.391371379294054,1.19181236132568,0.378606864741925,6.68898365958785,0.211475793498248,NA,NA,"fmodel2","qmodel1","rmodel3","stk"
"21",21,34406.46959047,0.201307139790139,1.04376258563079,0.337404527032084,7.33447299249193,0.20243137937748,2063003.35624182,0.0562147883906112,"fmodel3","qmodel1","rmodel3","stk"
"22",22,27170.4851365527,0.235986778343471,0.826158903286804,0.336043622762435,0.068784641385635,0.222385485033068,551007.556103809,0.0465797539421937,"fmodel1","qmodel2","rmodel3","stk"
"23",23,16828.3990073719,0.18409413768663,0.237560915825459,0.320414885678454,0.389071343261311,0.214746627903982,NA,NA,"fmodel2","qmodel2","rmodel3","stk"
"24",24,13696.1440556652,0.184697921734941,0.207834043047121,0.368916119918565,0.655314632055234,0.202847130995641,NA,NA,"fmodel3","qmodel2","rmodel3","stk"
"25",25,16317.3889710146,0.189302623450151,0.443022379815391,0.309776539393852,2.99474269036499,0.206264824447189,11787.714432347,0.165911085163766,"fmodel1","qmodel3","rmodel3","stk"
"26",26,6969.17464826852,0.176234218272333,1.19597321629728,0.4833951172482,0.25765343014648,0.326613681146279,18176.3129067382,0.0608349792046076,"fmodel2","qmodel3","rmodel3","stk"
"27",27,10320.3433583405,0.186889410021305,3.26934221307635,0.374922212554288,0.632427787838132,0.378757873960008,2482536.35092063,0.0669488051827982,"fmodel3","qmodel3","rmodel3","stk"
"28",28,27049.3074442937,0.232477180802486,0.282735515769933,0.332548846502531,2.13904322328147,0.214919511701301,380990.17892419,0,"fmodel1","qmodel1","rmodel1","stk04"
"29",29,14081.0976428985,0.174930713494547,0.203342857946528,0.380318548545388,0.653221080486772,0.200308198324086,85523.1312132945,0,"fmodel2","qmodel1","rmodel1","stk04"
"30",30,25085.0802057546,0.274455950616819,0.435759052367817,0.330289818765499,2.04031353605352,0.228094005335484,39099.2755173775,0.159506153484282,"fmodel3","qmodel1","rmodel1","stk04"
"31",31,25994.2540444249,0.38790643365141,17.4761486596952,0.384976267409367,3.42647328322508,0.209461364618391,NA,NA,"fmodel1","qmodel2","rmodel1","stk04"
"32",32,17965.2115291127,0.253151022510782,1.17419720774077,0.45433930631187,0.136506208386377,0.278247937689058,61519.9512474617,0,"fmodel2","qmodel2","rmodel1","stk04"
"33",33,21318.5334797796,0.206441149672352,0.750681130437913,0.326638956443035,0.132975445863257,0.209019583992255,23263.7225393373,0.190614598832098,"fmodel3","qmodel2","rmodel1","stk04"
"34",34,11115.2727638137,0.268887341721964,37.5684936540386,0.186349530641183,2.09543533125344,0.207394437940808,58939.8997635681,0.183944075371358,"fmodel1","qmodel3","rmodel1","stk04"
"35",35,8463.06529740995,0.325593898644306,14.6873028888819,0.634593542288459,0.165776890966331,0.384463577462456,87529.5696681954,0,"fmodel2","qmodel3","rmodel1","stk04"
"36",36,7972.39274863201,0.207001871122882,3.02427496182121,0.506942199208988,0.969674286910229,0.327084594642955,64724.5555907229,0.152781742559282,"fmodel3","qmodel3","rmodel1","stk04"
"37",37,29813.7360317683,0.212804461229319,0.44389137712873,0.326014034008462,0.20540114139567,0.216572028364354,22900.0404379369,0.0115371464183546,"fmodel1","qmodel1","rmodel2","stk04"
"38",38,18939.4901140418,0.202591657051684,1.18774874664445,0.376418640033773,0.0977815903396804,0.228603126227652,831259.48636849,0.0809655621472252,"fmodel2","qmodel1","rmodel2","stk04"
"39",39,27284.7501078304,0.224611435123512,0.642003587864935,0.332198623657823,0.128758926619682,0.220479660043356,1293088.63826175,0.0688993443759175,"fmodel3","qmodel1","rmodel2","stk04"
"40",40,21367.1638806195,0.205109019261591,0.918778671031895,0.328992504039082,0.0843417599441947,0.20894436099228,19972.127691594,0.0095237873244688,"fmodel1","qmodel2","rmodel2","stk04"
"41",41,17272.0767338192,0.174903270855056,1.33604016623486,0.445974305681629,0.22562028006246,0.352989671917744,139499.137663634,0.03627272363494,"fmodel2","qmodel2","rmodel2","stk04"
"42",42,26698.4802560678,0.370760211682245,1.20905325978103,0.393270074032174,6.70884491716649,0.210465171219006,18201.7481596832,0.195755052366006,"fmodel3","qmodel2","rmodel2","stk04"
"43",43,34308.9614269718,0.202476413475798,1.04851815127046,0.334787061122512,7.28371729655152,0.203086193649643,767166.423023638,0.105731911293856,"fmodel1","qmodel3","rmodel2","stk04"
"44",44,26898.9039732703,0.230411198098584,0.827106692784226,0.329785391858321,0.0688789944878301,0.220521762398627,1220251.40480278,0.0781284989738888,"fmodel2","qmodel3","rmodel2","stk04"
